Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer
EV026,3/19/2018 17:11,3/19/2018 18:10,14.237,0.228,0.764,0.992,100,94,6,31.674,68.36,,
EV026,3/19/2018 15:06,3/19/2018 16:57,23.382,0.464,1.394,1.858,100,66.5,33.5,53.78,70.88,,
EV026,3/19/2018 12:04,3/19/2018 14:54,34.542,0.797,2.031,2.828,75,76.5,-1.5,73.028,71.96,,
EV026,3/19/2018 8:11,3/19/2018 11:53,45.573,0.961,2.744,3.706,96.5,75.5,21,93.137,53.6,,
EV026,3/19/2018 5:38,3/19/2018 8:00,30.683,0.536,1.819,2.356,96,52,44,66.647,39.56,,
EV026,1/31/2018 20:30,1/31/2018 21:47,11.604,0.578,0.708,1.286,55.5,94.5,-39,22.883,54.32,,
EV026,1/31/2018 18:05,1/31/2018 19:04,11.76,0.194,0.792,0.986,82,58.5,23.5,23.331,58.64,,
EV026,1/31/2018 14:51,1/31/2018 17:00,14.325,1.2,0.95,2.15,73.5,56,17.5,30.561,66.56,,
EV026,1/31/2018 13:03,1/31/2018 14:30,13.02,0.619,0.817,1.436,100,83.5,16.5,28.397,69.44,,
EV026,1/31/2018 11:05,1/31/2018 12:20,12.51,0.392,0.847,1.239,100,84.5,15.5,29.83,64.4,,
EV026,1/31/2018 5:50,1/31/2018 6:54,13.382,0.35,0.719,1.069,73,54.5,18.5,29.319,41.72,,
EV026,1/26/2018 17:10,1/26/2018 18:02,10.469,0.233,0.631,0.864,99,62.5,36.5,23.178,51.8,,
EV026,1/26/2018 12:04,1/26/2018 13:49,15.659,0.786,0.961,1.747,100,48,52,37.111,59,,
EV026,1/26/2018 7:08,1/26/2018 7:50,10.162,0.144,0.556,0.7,90,49.5,40.5,23.156,40.28,,
EV026,1/24/2018 17:50,1/24/2018 19:00,11.611,0.433,0.728,1.161,83.5,37,46.5,22.598,50.36,,
EV026,1/24/2018 15:05,1/24/2018 16:25,11.988,0.45,0.872,1.322,100,54,46,27.104,54.68,,
